rank,country,imfGDP,unGDP,gdpPerCapita,pop
112,Papua New Guinea,22114000000,19694115731,2425.0439,9119.01
113,Laos,22013000000,15805707090,2983.0508,7379.358
114,Bosnia and Herzegovina,21343000000,16909904149,6539.9793,3263.466
115,Botswana,20873000000,15566057294,8707.0929,2397.241
116,Afghanistan,20682000000,20235063330,519.1861,39835.428
117,Mali,19332000000,14001696748,926.9393,20855.735
118,Georgia,18888000000,14332728707,4746.0089,3979.765
119,Gabon,17893000000,13863183526,7851.8535,2278.825
120,Albania,17210000000,11863866791,5990.3938,2872.933
121,Jamaica,16717000000,14056901075,5622.0642,2973.463
122,Malta,16338000000,10998577038,36898.3522,442.784
123,Mozambique,16294000000,10930131568,506.6062,32163.047
124,Burkina Faso,16266000000,11695117109,756.6603,21497.096
125,Mauritius,15757000000,12216235024,12373.6388,1273.433
126,Mongolia,14960000000,11160356685,4493.4519,3329.289
127,Namibia,14627000000,10947277246,5653.2877,2587.344
128,Brunei,14281000000,11400266878,32344.2016,441.532
129,Armenia,13868000000,10572299425,4672.3068,2968.127
130,Bahamas,13710000000,11261800000,34541.5746,396.913
131,North Macedonia,13700000000,10745782586,6578.1324,2082.658
132,Guinea,13603000000,8476136811,1007.8354,13497.244
133,Madagascar,13542000000,11222263845,476.3726,28427.328
134,Moldova,12793000000,6772647958,3179.1599,4024.019
135,Chad,12547000000,11267295771,741.7683,16914.985
136,Nicaragua,12459000000,13230214875,1858.8905,6702.385
137,Equatorial Guinea,12263000000,10677940568,8457.848,1449.896
138,Benin,12129000000,8893638002,974.1355,12451.04
139,Republic of the Congo,11367000000,7778081883,2009.3643,5657.013
140,Rwanda,11062000000,8473784827,833.2007,13276.513
141,Niger,10628000000,7528285819,422.9071,25130.817
142,Haiti,9648000000,7647347306,835.9265,11541.685
143,Kyrgyzstan,8781000000,6551291140,1324.7629,6628.356
144,Somalia,8341000000,1318057519,509.8565,16359.504
145,Eritrea,8116000000,5413804303,2253.5261,3601.467
146,Malawi,7861000000,5318197658,400.098,19647.684
147,Tajikistan,7838000000,6951679338,803.9282,9749.627
148,Maldives,6213000000,4224207488,11429.0024,543.617
149,Togo,6132000000,4449262345,723.2625,8478.25
150,Montenegro,5740000000,4373958354,9139.3561,628.053
151,Mauritania,5697000000,4667119320,1193.0593,4775.119
152,Fiji,5671000000,4671118364,6280.831,902.906
153,Barbados,5339000000,4552793288,18556.8157,287.711
154,Eswatini,4812000000,4007002048,4104.5343,1172.362
155,Guyana,4609000000,3436626633,5831.7707,790.326
156,Sierra Leone,4221000000,3674756785,518.4648,8141.343
157,Suriname,3919000000,3278445033,6622.1697,591.8
158,Burundi,3714000000,2873699606,303.0493,12255.433
159,East Timor,3413000000,2703285752,2539.6745,1343.873
160,Liberia,3217000000,2756817825,621.0181,5180.203
161,Aruba,2952000000,2667039106,27536.286,107.204
162,Bhutan,2939000000,2212642587,3768.4415,779.898
163,Lesotho,2892000000,2241017076,1339.46,2159.079
164,South Sudan,2796000000,6534451826,245.6645,11381.378
165,Djibouti,2599000000,1891520369,2593.3284,1002.187
166,Central African Republic,2485000000,1810388740,505.0833,4919.981
167,Cape Verde,2208000000,1638928099,3929.5388,561.898
168,Belize,2071000000,1741100000,5114.6663,404.914
169,Saint Lucia,2069000000,1397066906,11220.1735,184.4
170,Gambia,1870000000,985831536,751.9266,2486.945
171,Antigua and Barbuda,1809000000,1460157909,18322.5127,98.731
172,Seychelles,1739000000,1433826317,17581.9954,98.908
173,San Marino,1672000000,1590761265,49151.8946,34.017
174,Guinea-Bissau,1669000000,1122643236,828.0848,2015.494
175,Solomon Islands,1607000000,1133967215,2282.6834,703.996
176,Grenada,1330000000,1016208148,11767.7246,113.021
177,Saint Kitts and Nevis,1118000000,909854620,20880.0239,53.544
178,Vanuatu,994000000,837519790,3160.9342,314.464
179,Samoa,960000000,822233281,4796.4267,200.149
180,Saint Vincent and the Grenadines,903000000,765318745,8115.9056,111.263
181,Comoros,773000000,1149802573,870.0536,888.451
182,Dominica,590000000,581484032,8175.4819,72.167
183,Sao Tome and Principe,527000000,342781695,2359.3353,223.368
184,Tonga,512000000,401460313,4795.8037,106.76
185,Micronesia,389000000,329895643,3346.1214,116.254
186,Palau,324000000,310248000,17832.572,18.169
187,Marshall Islands,228000000,183000000,3824.8616,59.61
188,Kiribati,196000000,173655146,1614.6039,121.392
189,Nauru,117000000,103469824,10757.6315,10.876
190,Tuvalu,53000000,36697185,4442.2094,11.931
191,Andorra,0,2858406626,36951.8018,77.355
192,Bermuda,0,6127341000,98684.8285,62.09
193,British Virgin Islands,0,971237110,31926.5346,30.421
194,Cayman Islands,0,3844080626,57808.3316,66.497
195,Cook Islands,0,290194195,16521.1611,17.565
196,Cuba,0,89688700000,7924.7767,11317.505
197,French Polynesia,0,5417934152,19176.4915,282.53
198,Palestine,0,13397100000,2565.1439,5222.748
199,Greenland,0,2282927882,40137.9799,56.877
200,North Korea,0,16788601831,648.5331,25887.041
201,Liechtenstein,0,6193677543,161926.2103,38.25
202,Monaco,0,6468000877,163701.27,39.511
203,Montserrat,0,62051375,12467.6261,4.977
204,Curacao,0,3121449966,18941.067,164.798
205,Sint Maarten,0,1072067039,24695.1773,43.412
206,New Caledonia,0,9445714851,32772.8138,288.218
207,Pakistan,0,2.82506E+11,1254.4675,225199.937
208,Anguilla,0,337520470,22327.2124,15.117
209,Sudan,0,82887395895,1845.66,44909.353
210,Syria,0,22163075121,1212.7072,18275.702
211,Turks and Caicos Islands,0,917550492,23388.4044,39.231
